,,Ind Month,Shift, Infant,1,2,3,4,5,5-12,ALL,LIC,LIC MAX,Employees,Category Operation,Operation Site,SCC,License Type
92002420,THE GODDARD SCHOOL,9,-1,5,17,35,14,23,6,0,100,136,136,15,Franchise,Constructed for Child Care Care,Y,5 Star C 2C
92002796,THE GODDARD SCHOOL,11,-1,8,18,31,37,23,10,0,127,146,146,19,Franchise,Constructed for Child Care,N,5 Star C 2C
92003406,THE GODDARD SCHOOL,12,-1,11,19,30,21,17,4,0,102,165,165,25,Franchise,Constructed for Child Care,Y,5 Star C 2C
92002549,THE GODDARD SCHOOL / FUQUAY-VARINA,10,-1,13,13,28,29,18,4,15,120,144,144,27,Franchise,Constructed for Child Care Care,Y,5 Star C 2C
92003683,THE GODDARD SCHOOL APEX GREEN LEVEL WEST,1,-1,4,2,3,11,2,1,0,23,153,153,14,Franchise,Constructed for Child Care,N,Temp C
92003582,THE GODDARD SCHOOL IN BRIER CREEK,5,-1,13,19,32,19,19,8,0,110,194,194,27,Franchise,Constructed for Child Care Care,Y,4 Star C 2C
92002434,THE GODDARD SCHOOL IN HOLLY SPRINGS,10,-1,8,19,30,39,28,18,0,142,147,136,0,Franchise,Constructed for Child Care Care,Y,4 Star C 2C
92003205,THE GODDARD SCHOOL OF APEX,1,-1,8,20,23,37,32,8,0,128,138,138,26,Franchise,Constructed for Child Care,Y,5 Star C 2C
92003602,THE GODDARD SCHOOL OF CARY LOCHMERE,10,-1,5,7,17,8,8,1,0,46,140,140,0,Franchise,Constructed for Child Care,N,1 Star C 2C
92002251,"THE GODDARD SCHOOL- WAKE FOREST, INC.",12,-1,8,19,26,17,26,12,0,108,142,142,16,Franchise,Constructed for Child Care,Y,5 Star C 2C
92003508,THE GODDARD SCHOOL-RALEIGH RIDGE RD,7,-1,14,20,40,44,26,6,0,150,160,160,16,Franchise,Constructed for Child Care,N,4 Star C 2C
92002726,THE GROVE SCHOOL OF CARY,2,-1,7,17,18,26,31,6,0,105,155,155,25,Franchise,Constructed for Child Care Care,Y,5 Star C 2C
92002948,THE GROWING PLACE,10,-1,0,0,0,14,19,15,0,48,60,60,21,Religious Sponsored,  Religious,N,Other
92003593,THE GROWING YEARS LEARNING CENTER - APEX,1,-1,6,16,23,18,22,0,16,101,130,130,20,Independent,Constructed for Child Care,Y,5 Star C 2C
92003595,THE GROWING YEARS LEARNING CENTER - CARY,9,-1,4,18,20,25,17,0,0,84,160,160,14,Independent,Constructed for Child Care,Y,5 Star C 2C
92000221,THE HAPPY FACE PRESCHOOL,6,-1,0,0,4,8,16,20,0,48,82,82,8,Independent,Constructed for Child Care,Y,5 Star C 2C
92002739,THE KIDZ KOLLEGE,4,-1,6,21,8,10,6,0,0,51,89,89,16,Religious Sponsored Religious,,Y,Other
92003505,THE LEARNING EXPERENCE,4,-1,10,13,12,24,30,7,0,96,163,163,19,Franchise,Constructed for Child Care,Y,4 Star C 2C
92003287,THE LEARNING EXPERIENCE,8,-1,13,29,29,26,15,5,0,117,158,158,16,Franchise,Constructed for Child Care Care,Y,5 Star C 2C
92003504,THE LEARNING EXPERIENCE,5,-1,8,15,17,21,29,10,0,100,178,178,17,Franchise,Constructed for Child Care,Y,5 Star C 2C
92002502,THE LEARNING EXPERIENCE @ CARY,4,-1,6,18,22,23,27,12,41,149,176,176,15,Franchise,Constructed for Child Care Care,Y,5 Star C 2C
92003659,THE LEARNING EXPERIENCE FUQUAY VARINA,8,-1,9,6,13,4,4,0,0,36,160,160,9,Franchise,Constructed for Child Care,N,Temp C
92003685,THE LEARNING EXPERIENCE RALEIGH NE,1,-1,0,0,0,0,0,0,0,0,166,0,0,Franchise,Constructed for Child Care,N,Temp C
92003417,THE LEARNING EXPERIENCE WAKE FOREST,6,-1,7,18,28,21,22,5,14,115,172,172,21,Franchise,Constructed for Child Care,Y,5 Star C 2C
92003603,THE LEARNING RAINBOW CHILD DEVELOPMENT CENTER,7,-1,1,6,3,2,1,1,0,14,45,45,5,Independent,Converted House,N,3 Star C 2C
92003190,THE LOVING LOFT CHILD DEVELOPMENT CENTER LLC,7,-1,0,4,10,3,3,0,1,21,25,25,3,Independent,Converted House,Y,3 Star C 2C
92001015,THE NEW SCHOOL #2,5,-1,1,9,9,1,0,0,0,20,175,175,23,Independent,Constructed for Child Care,Y,3 Star C 2C
92003113,TINY TREASURE KIDS INC.,7,-1,2,6,10,8,9,2,2,39,130,130,7,Independent,Constructed for Child Care Care,Y,3 Star C 2C
92003507,TOTALLY KIDS CHILDCARE CENTER,6,-1,2,5,2,5,5,0,0,19,45,45,4,Independent,Converted Building,Y,4 Star C 2C
92002701,TOUCHED BY AN ANGEL,10,-1,0,1,1,1,1,0,8,12,12,12,2,Independent,Family Residence,Y,5 Star C 2C
92003384,TOUCHED BY AN ANGEL OPEN ARMS CHILD CARE CENTER,9,-1,3,2,9,10,7,3,28,62,115,115,8,Independent,Constructed for Child Care,Y,3 Star C 2C
92003532,TOUCHED BY LORRAINE'S LOVING HANDS,10,-1,1,8,1,4,4,1,0,19,41,41,5,Independent,Converted Building,,3 Star C 2C
92001042,TRIANGLE ACADEMY PRESCHOOL,5,-1,0,0,11,30,51,21,0,113,180,199,18,Independent,Constructed for Child Care,Y,5 Star C 2C
92003634,TRIANGLE CHILDREN'S ACADEMY,11,-1,1,3,5,6,33,13,3,64,100,100,13,Independent,Constructed for Child Care,Y,4 Star C 2C
92002007,TRIANGLE LEARNING CENTER,12,-1,5,5,31,33,29,4,0,107,150,150,29,Religious Sponsored,Religious,N,Other
92003562,TRIANGLE MONTESSORI ACADEMY,3,-1,0,5,14,20,27,6,2,74,99,99,12,Independent,Converted Building,,1 Star C 2C
92002906,TRINITY BAPTIST WEEKDAY PRESCHOOL,10,-1,8,9,29,21,12,9,0,88,131,131,27,Religious Sponsored,Religious,N,Other
92002791,UNIQUE CREATIONS CHILD CARE CENTER,3,-1,6,5,6,7,1,1,1,27,30,30,5,Independent,Converted House,Y,4 Star C 2C
92001374,UPPER ROOM CHRISTIAN ACADEMY,2,-1,0,11,19,40,60,3,0,133,154,154,17,Religious Sponsored,Religious,Y,5 Star C 2C
92003619,VANCE ELEMENTARY,12,-1,0,0,0,0,8,5,0,13,18,18,3,Local Public School, School,N,4 Star C 2C
9252538,VITAL LINK IS CROSS LINK,10,-1,0,1,5,11,10,5,0,32,82,85,3,Independent,Constructed for Child Care,N,1 Star C 2C
92002450,"WAKE FOREST CHILD CARE CENTER, INC.",8,-1,7,10,10,17,8,0,25,77,148,148,13,Independent,Constructed for Child Care Care,Y,3 Star C 2C
92003622,WAKE FOREST ELEMENTARY,1,-1,0,0,0,0,20,9,0,29,36,36,6,Local Public School,School,N,4 Star C 2C
92002048,WAKE FOREST KIDS 'R' KIDS,7,-1,12,24,23,25,40,13,139,276,240,240,27,Franchise,Constructed for Child Care,Y,5 Star C 2C
92003108,WAKE FOREST MONTESSORI,3,-1,0,6,16,19,18,4,0,63,75,62,18,Independent,Converted Building,N,1 Star C 2C
92001956,WAKEFIELD CREATIVE SCHOOL,2,-1,15,20,22,29,59,17,30,192,198,198,29,Independent,Constructed for Child,Y,5 Star C 2C
92003648,WAKELON ELEMENTARY,1,-1,0,0,0,0,9,4,0,13,18,18,4,Local Public School  School,,N,Temp C
92003651,WALNUT CREEK ELEMENTARY,2,-1,0,0,0,0,19,13,0,32,36,36,6,Local Public School  School,,N,Temp C
92002728,WANDA'S LITTLE HANDS EDUCATIONAL CENTER #1,1,-1,0,7,16,0,31,3,0,57,98,98,12,Independent,Constructed for Child Care Care,Y,5 Star C 2C
92002729,WANDA'S LITTLE HANDS EDUCATIONAL CENTER #2,1,-1,0,0,0,7,5,0,0,12,51,51,2,Independent,Constructed for Child Care Care,Y,5 Star C 2C
9255200,WHITE PLAINS CHILDREN'S CENTER,10,-1,0,9,15,22,16,7,0,69,72,72,18,Independent,Religious,Y,5 Star C 2C
92002617,WIDEWATERS LEARNING CENTER,10,-1,9,20,21,10,10,1,0,71,187,187,14,Independent,Constructed for Child Care Care,Y,SProv C
92003526,WILBURN ELEMENTARY,9,-1,0,0,0,0,3,15,0,18,18,18,3,Local Public School, Government Building,,4 Star C 2C
92000196,WORD OF GOD CHRISTIAN DAY CARE,2,-1,14,10,18,18,11,8,8,87,204,204,14,Religious Sponsored,Religious,Y,Prob Lic GS110
92003543,WREN AND WILLOW MONTESSORI,1,-1,3,3,1,2,0,1,0,10,28,30,3,Independent,Converted Building,,4 Star C 2C
92003620,YATES MILL ELEMENTARY,12,-1,0,0,0,0,25,8,0,33,36,36,3,Local Public School,School,N,4 Star C 2C
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
