Record ID Number,TIGER Address Range Match Indicator,TIGER Match Type,TIGER Output Address,"Interpolated Longitude, Latitude",TIGER Line ID,TIGER Line ID Side,State Code,County Code,Tract Code,Block Code,address,city,state,zip
243,Match,Exact,"1110 NEWTON RD, RALEIGH, NC, 27615","-78.62964,35.879597",208346214,R,37,183,54006,1001,1110 NEWTON ROAD, RALEIGH, NC,27615
2,Match,Exact,"838 BELMONT DR, RALEIGH, NC, 27610","-78.603615,35.765587",72509769,R,37,183,52002,2011,838 BELMONT DRIVE, RALEIGH, NC,27610
244,Match,Exact,"4301 PEARL RD, RALEIGH, NC, 27610","-78.56111,35.72391",630182148,R,37,183,52807,2066,4301 PEARL ROAD, RALEIGH, NC,27610
3,Match,Exact,"3701 SUMNER BLVD, RALEIGH, NC, 27616","-78.57285,35.86338",649508506,L,37,183,54015,1007,3701-130 SUMNER BLVD, RALEIGH, NC,27616
124,Match,Exact,"2128 MINGO BLUFF BLVD, KNIGHTDALE, NC, 27545","-78.522514,35.77525",641564619,L,37,183,54114,2008,2128 MINGO BLUFF BLVD, KNIGHTDALE, NC,27545
245,Match,Exact,"551 JAMES JACKSON AVE, CARY, NC, 27513","-78.81253,35.799583",639845573,R,37,183,53523,2003,551 JAMES JACKSON AVE, CARY, NC,27513
4,Match,Exact,"5429 KISSIMMEE LN, RALEIGH, NC, 27616","-78.55057,35.89057",639848306,L,37,183,54014,1051,5429 KISSIMMEE LANE, RALEIGH, NC,27616
125,Match,Non_Exact,"116 QUANTUM DR, HOLLY SPRINGS, NC, 27540","-78.83578,35.65838",208360279,R,37,183,53420,1064,116 QUANTUM STREET, HOLLY SPRINGS, NC,27540
246,Match,Non_Exact,"316 S KING CHARLES RD, RALEIGH, NC, 27610","-78.60469,35.775723",72509621,R,37,183,52001,2011,316 S KING CHARLES RD, RALEIGH, NC,27610
5,Match,Exact,"8448 HAINES CREEK LN, RALEIGH, NC, 27616","-78.550705,35.89125",639844300,R,37,183,54014,1033,8448 HAINES CREEK LANE, RALEIGH, NC,27616
6,Match,Exact,"509 MADISON AVE, CARY, NC, 27513","-78.79236,35.788616",72497737,R,37,183,53524,2008,509 MADISON AVE, CARY, NC,27513
127,Match,Exact,"101 ARBOR CREEK DR, HOLLY SPRINGS, NC, 27540","-78.83321,35.67477",72631335,L,37,183,53203,1028,101 ARBOR CREEK DR, HOLLY SPRINGS, NC,27540
248,Match,Exact,"4001 SPRING FOREST RD, RALEIGH, NC, 27616","-78.57546,35.855625",208361872,L,37,183,54015,1009,4001 SPRING FOREST RD, RALEIGH, NC,27616
128,Match,Exact,"5000 LEAD MINE RD, RALEIGH, NC, 27612","-78.67315,35.84885",208362096,R,37,183,52505,1000,5000 LEAD MINE ROAD, RALEIGH, NC,27612
8,Match,Exact,"201 CLARENDON CRES, RALEIGH, NC, 27610","-78.60347,35.782276",208347485,L,37,183,51900,1032,201 CLARENDON CRESCENT, RALEIGH, NC,27610
129,Match,Exact,"3525 ROGERS RD, WAKE FOREST, NC, 27587","-78.5081,35.94882",639850355,R,37,183,54211,2047,3525 ROGERS ROAD, WAKE FOREST, NC,27587
9,Match,Exact,"55 LILES DEAN RD, WENDELL, NC, 27591","-78.38114,35.79267",208360115,R,37,183,54404,3074,55 LILES DEAN RD, WENDELL, NC,27591
20,Match,Exact,"5105 POOLE RD, RALEIGH, NC, 27610","-78.55645,35.76325",208361093,L,37,183,54106,2015,5105 OLD POOLE RD, RALEIGH, NC,27610
21,Match,Non_Exact,"2217 NEW BERN AVE, RALEIGH, NC, 27610","-78.604225,35.779896",208347486,L,37,183,51900,1032,2217 NEW BERN AVE, RALEIGH, NC,27610
22,Match,Non_Exact,"4400 OLD POOLE RD, RALEIGH, NC, 27610","-78.56622,35.763706",72595410,R,37,183,52806,2009,4400 OLD POOLE ROAD, RALEIGH, NC,27610
23,Match,Exact,"6612 CREEDMOOR RD, RALEIGH, NC, 27613","-78.67899,35.876812",647310346,L,37,183,53707,1015,6612 CREEDMOOR ROAD, RALEIGH, NC,27613
