Tract Code,Tract Income Level,2015 MSA/MD Statewide non-MSA/MD Median Family Income,2019 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,% Below Poverty Line,Tract Median Family Income %,2015 Tract Median Family Income,2019 Est. Tract Median Family Income,2015 Tract Median Household Income
536.07,Upper,"$78,057 ","$93,100 ",6.64,135.05,"$105,417 ","$125,732 ","$100,452 "
536.08,Upper,"$78,057 ","$93,100 ",5.77,127.5,"$99,527 ","$118,703 ","$94,868 "
536.09,Middle,"$78,057 ","$93,100 ",7.51,103.28,"$80,625 ","$96,154 ","$73,512 "
536.1,Upper,"$78,057 ","$93,100 ",5.95,127.67,"$99,658 ","$118,861 ","$70,691 "
537.07,Middle,"$78,057 ","$93,100 ",4.81,94.48,"$73,750 ","$87,961 ","$56,765 "
537.09,Middle,"$78,057 ","$93,100 ",7.74,110.09,"$85,938 ","$102,494 ","$62,911 "
537.11,Upper,"$78,057 ","$93,100 ",2.84,149.19,"$116,458 ","$138,896 ","$90,385 "
537.12,Upper,"$78,057 ","$93,100 ",3.4,148.32,"$115,781 ","$138,086 ","$92,955 "
537.13,Moderate,"$78,057 ","$93,100 ",10.81,61.37,"$47,909 ","$57,135 ","$41,138 "
537.14,Middle,"$78,057 ","$93,100 ",11.84,119.27,"$93,100 ","$111,040 ","$76,361 "
537.15,Upper,"$78,057 ","$93,100 ",6.37,142.25,"$111,042 ","$132,435 ","$87,250 "
537.16,Middle,"$78,057 ","$93,100 ",9.5,94.76,"$73,967 ","$88,222 ","$47,417 "
537.17,Upper,"$78,057 ","$93,100 ",4.82,128.91,"$100,625 ","$120,015 ","$77,054 "
537.18,Upper,"$78,057 ","$93,100 ",1.34,144.08,"$112,470 ","$134,138 ","$112,131 "
537.19,Upper,"$78,057 ","$93,100 ",1.6,141.52,"$110,474 ","$131,755 ","$104,167 "
537.2,Upper,"$78,057 ","$93,100 ",2.81,214.01,"$167,054 ","$199,243 ","$151,359 "
537.21,Upper,"$78,057 ","$93,100 ",0.53,181.51,"$141,688 ","$168,986 ","$132,336 "
537.22,Upper,"$78,057 ","$93,100 ",5.75,133.74,"$104,397 ","$124,512 ","$76,509 "
537.23,Middle,"$78,057 ","$93,100 ",7.4,106.64,"$83,242 ","$99,282 ","$72,778 "
537.24,Upper,"$78,057 ","$93,100 ",3.62,148.52,"$115,938 ","$138,272 ","$88,816 "
537.25,Upper,"$78,057 ","$93,100 ",4.97,147.94,"$115,481 ","$137,732 ","$73,388 "
537.26,Middle,"$78,057 ","$93,100 ",11.07,82.21,"$64,176 ","$76,538 ","$39,896 "
538.03,Upper,"$78,057 ","$93,100 ",2.14,212.98,"$166,250 ","$198,284 ","$162,961 "
538.04,Upper,"$78,057 ","$93,100 ",0.37,176.53,"$137,800 ","$164,349 ","$122,917 "
538.05,Upper,"$78,057 ","$93,100 ",4.94,224.55,"$175,278 ","$209,056 ","$165,357 "
538.06,Upper,"$78,057 ","$93,100 ",1.46,158.71,"$123,889 ","$147,759 ","$110,000 "
538.07,Upper,"$78,057 ","$93,100 ",1.58,185.1,"$144,485 ","$172,328 ","$117,417 "
538.08,Upper,"$78,057 ","$93,100 ",1.6,196.59,"$153,459 ","$183,025 ","$148,663 "
539,Upper,"$78,057 ","$93,100 ",6.66,158.4,"$123,650 ","$147,470 ","$107,813 "
540.01,Moderate,"$78,057 ","$93,100 ",14.59,74.04,"$57,798 ","$68,931 ","$42,917 "
540.04,Moderate,"$78,057 ","$93,100 ",13.97,60.93,"$47,566 ","$56,726 ","$46,239 "
540.06,Moderate,"$78,057 ","$93,100 ",18.99,72.64,"$56,705 ","$67,628 ","$49,936 "
540.07,Middle,"$78,057 ","$93,100 ",3.82,104.09,"$81,250 ","$96,908 ","$52,436 "
540.08,Low,"$78,057 ","$93,100 ",26.92,45.6,"$35,599 ","$42,454 ","$35,851 "
540.11,Upper,"$78,057 ","$93,100 ",6.94,143.11,"$111,713 ","$133,235 ","$100,345 "
540.12,Upper,"$78,057 ","$93,100 ",1.8,137.33,"$107,198 ","$127,854 ","$92,824 "
540.13,Upper,"$78,057 ","$93,100 ",6.7,136.81,"$106,797 ","$127,370 ","$79,845 "
540.14,Moderate,"$78,057 ","$93,100 ",17.55,63.99,"$49,950 ","$59,575 ","$48,650 "
540.15,Middle,"$78,057 ","$93,100 ",9.17,86.39,"$67,440 ","$80,429 ","$67,059 "
540.16,Middle,"$78,057 ","$93,100 ",3.3,113.29,"$88,438 ","$105,473 ","$72,946 "
540.17,Moderate,"$78,057 ","$93,100 ",9.04,75.08,"$58,611 ","$69,899 ","$53,724 "
540.18,Low,"$78,057 ","$93,100 ",23.58,41.18,"$32,144 ","$38,339 ","$32,339 "
541.04,Middle,"$78,057 ","$93,100 ",7.94,84.78,"$66,180 ","$78,930 ","$60,964 "
541.05,Middle,"$78,057 ","$93,100 ",7.93,94.55,"$73,804 ","$88,026 ","$58,642 "
541.06,Moderate,"$78,057 ","$93,100 ",14.49,68.02,"$53,098 ","$63,327 ","$54,509 "
541.08,Moderate,"$78,057 ","$93,100 ",14.82,65.88,"$51,429 ","$61,334 ","$48,163 "
541.09,Middle,"$78,057 ","$93,100 ",9.75,116.24,"$90,735 ","$108,219 ","$85,909 "
541.1,Middle,"$78,057 ","$93,100 ",6.11,114.94,"$89,724 ","$107,009 ","$82,500 "
